car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
U53,BLK 296 BUKIT BATOK ST 22,18363.2733,36194.2818,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.15,N,1.343601,103.746727
U54,241A BUKIT BATOK EAST AVE 5,19312.2301,36987.8524,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N,1.350778,103.755253
U55,BLK 445 BUKIT BATOK WEST AVE 8,17419.4393,36994.0568,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.15,N,1.350834,103.738246
U56,BLK 443 BUKIT BATOK WEST AVE 8,17317.6560,37581.4848,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.356146,103.737331
U57,BLK 293 BUKIT BATOK ST 21,19323.1576,36459.7662,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.346002,103.755352
U58,BLK 448 BT BATOK WEST AVE 9,17668.5683,37144.9669,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.352199,103.740484
U59,BLK 292 BUKIT BATOK EAST AVE 6,19325.1186,36287.3630,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.344443,103.755370
U6,BLK 150/158 BUKIT BATOK STREET 11,18071.3516,36683.9531,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 1PM-10.30PM,YES,0,9.99,N,1.348030,103.744104
U60,BLK 451 BUKIT BATOK WEST AVE 6,18060.8019,37237.9017,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.353039,103.744009
U61,BLK440 BUKIT BATOK WEST AVE 8,17534.7152,37528.3789,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.355666,103.739281
